1,Cookie Choc,"Repair Left Parotid Gland, Percutaneous Approach",83.9
2,Radish - Pickled,"Drainage of Left Neck Lymphatic, Perc Endo Approach",77.23
3,"Pepper - Green, Chili","Revision of Infusion Device in L Pleural Cav, Open Approach",13.48
4,Calypso - Strawberry Lemonade,"Dilate R Com Iliac Art, Bifurc, w Intralum Dev, Open",92.68
5,"Wine - White, Riesling, Henry Of","Inspection of Ureter, Percutaneous Approach",1.15
6,Vodka - Moskovskaya,"Removal of Drainage Device from Kidney, Perc Approach",7.09
7,Clementine,"Repair Right Ulna, Percutaneous Endoscopic Approach",92.73
8,"Syrup - Monin, Irish Cream","Removal of Synth Sub from L Metacarpophal Jt, Perc Approach",33.26
9,Fruit Mix - Light,"Removal of Nonaut Sub from R Fibula, Open Approach",63.76
10,Spice - Montreal Steak Spice,"Reposition Right Popliteal Artery, Percutaneous Approach",51.94
11,Pie Shells 10,"Revision of Infusion Device in Pelvic Cavity, Open Approach",38.62
12,True - Vue Containers,"Occlusion R Axilla Lymph w Extralum Dev, Perc Endo",4.7
13,"Yeast - Fresh, Fleischman",Traction of Left Inguinal Region using Traction Apparatus,42.25
14,"Basil - Dry, Rubbed","Revision of Ext Fix in R Patella, Open Approach",94.35
15,"Beans - Black Bean, Dry","Introduction of Oth Diagn Subst into Ear, Via Opening",47.72
16,"Beans - Black Bean, Dry","Excision of Right Seminal Vesicle, Perc Endo Approach, Diagn",52.37
17,Wine - Alsace Gewurztraminer,"Revision of Autol Sub in R Up Femur, Perc Approach",37.4
18,Sachet,"Restriction of Right Axillary Artery, Open Approach",40.6
19,Wine - Chateauneuf Du Pape,"Restriction of Right Thyroid Artery, Open Approach",96.45
20,Cake - Sheet Strawberry,"Supplement R Up Leg Subcu/Fascia w Nonaut Sub, Perc",34.86
21,proov,kirjeldus,12
